Year,FossilCO2,OtherCO2,CH4,N2O,SOx,CO,NMVOC,NOx,BC,OC,NH3,CF4,C2F6,C6F14,HFC23,HFC32,HFC43_10,HFC125,HFC134a,HFC143a,HFC227ea,HFC245fa,SF6,CFC_11,CFC_12,CFC_113,CFC_114,CFC_115,CARB_TET,MCF,HCFC_22,HCFC_141B,HCFC_142B,HALON1211,HALON1202,HALON1301,HALON2402,CH3BR,CH3CL
1750,0.002592442,0.081126711,19.01978312,0.054741468,1.220024217,348.5273588,60.02182622,3.875934069,2.097770755,15.44766815,6.927690091,0.010071225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.007723273,0,0,0,105.08773,4275.7449
1751,0.002592535,0.082619209,18.91510887,0.055775659,1.204189569,343.9263672,59.08812628,3.832440116,2.072925926,15.18871674,6.860142185,0.010071225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.007723273,0,0,0,105.1072,4276.7685
1752,0.002593637,0.084139164,18.88971181,0.056829387,1.198558022,341.8090339,58.63199703,3.833038823,2.064311933,15.03447574,6.819482037,0.010071225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.007723273,0,0,0,105.12502,4277.7049
1753,0.002593731,0.085687082,19.12137723,0.057903023,1.205346682,343.6754562,59.0263494,3.816467058,2.071950564,15.18254515,6.881438529,0.010071225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.007723273,0,0,0,105.10373,4276.586
1754,0.002594832,0.087263478,19.50906107,0.058996942,1.231032627,349.8156252,60.26994517,3.845993804,2.099349783,15.55877305,7.015189224,0.010071225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.007723273,0,0,0,105.07356,4274.9998
1755,0.002595934,0.088868875,19.50045493,0.060111528,1.221177572,348.144668,59.82493372,3.885301685,2.099173165,15.35818253,6.943989043,0.010071225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.007723273,0,0,0,105.09182,4275.9598
1756,0.00277341,0.090503806,19.4625366,0.061247171,1.209592162,343.3231517,58.94682931,3.778832098,2.068915407,15.19577663,6.922711557,0.010071225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.007723273,0,0,0,105.08556,4275.6306
1757,0.002774512,0.092168815,20.02354066,0.062404268,1.253732347,355.9418923,61.263693,3.997046201,2.147923676,15.70481912,7.047674129,0.010071225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.007723273,0,0,0,105.09137,4275.9361
1758,0.002775613,0.093864456,19.93400533,0.063583226,1.239871913,351.839749,60.43461244,3.950235534,2.12061141,15.51461163,6.995459768,0.010071225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.007723273,0,0,0,105.09662,4276.2118
1759,0.002776714,0.095591292,20.14146621,0.064784457,1.236764017,351.5077627,60.44526305,3.88120968,2.117267431,15.57401349,7.045958325,0.010071225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.007723273,0,0,0,105.08372,4275.5338
1760,0.002776808,0.097349896,20.41679714,0.066008382,1.248872598,354.4182853,61.05172479,3.869081404,2.127804105,15.81906393,7.128048286,0.010071225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.007723273,0,0,0,105.04022,4273.2473
1761,0.003039958,0.099140854,20.45599017,0.06725543,1.254590882,354.7079679,60.9842272,3.946413089,2.137756989,15.69191588,7.080969808,0.010071225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.007723273,0,0,0,105.09143,4275.9395
1762,0.003041064,0.10096476,20.45168738,0.068526037,1.233252066,349.2496972,60.02708933,3.804283694,2.101748109,15.52593531,7.072547337,0.010071225,0,0,0,1.51423E-06,0,0,0,0,8.32033E-08,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.007723273,0,0,0,105.08127,4275.4052
1763,0.003042171,0.102822221,20.54517934,0.069820649,1.240496083,350.0593349,60.12706627,3.844812309,2.107029758,15.52676249,7.067982584,0.010071225,0,0,0,1.23678E-05,0,0,0,0,6.67881E-07,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.007723273,0,0,0,105.09332,4276.0386
1764,0.003043278,0.104713854,20.26091721,0.071139719,1.210933965,342.0446107,58.43835717,3.827672207,2.071549227,14.95869898,6.89874574,0.010071225,0,0,0,2.49987E-05,0,0,0,0,1.26833E-06,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.007723273,0,0,0,105.1104,4276.9364
1765,0.003044385,0.106640287,20.919155,0.07248371,1.248777033,352.9327258,60.62945786,3.876806973,2.123600022,15.67992411,7.112382325,0.010071225,0,0,0,3.03133E-05,0,0,0,0,1.38527E-06,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.007723273,0,0,0,105.07293,4274.9668
1766,0.00339421,0.108602161,20.8535919,0.073853091,1.242204161,349.380645,59.85878463,3.88350232,2.110459977,15.35883081,7.036296531,0.010071225,0,0,0,3.43717E-05,0,0,0,0,1.42129E-06,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.007723273,0,0,0,105.07758,4275.2111
1767,0.003395317,0.110600128,20.99917946,0.075248343,1.241371439,349.616099,59.8910269,3.879127292,2.112460701,15.4005645,7.045382427,0.010071225,0,0,0,3.84322E-05,0,0,0,0,1.45734E-06,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.007723273,0,0,0,105.08566,4275.6359
1768,0.003396424,0.112634852,21.65945211,0.076669954,1.292688748,362.6536848,62.36582555,4.037600984,2.18313204,16.0637302,7.223617821,0.010071225,0,0,0,4.24738E-05,0,0,0,0,1.49321E-06,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.007723273,0,0,0,105.04673,4273.5893
1769,0.00339753,0.114707009,21.49633535,0.078118423,1.271378791,355.0254185,60.95040361,3.913258937,2.137633742,15.73509479,7.157863703,0.010071225,0,0,0,4.65443E-05,0,0,0,0,1.52934E-06,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.007723273,0,0,0,105.0767,4275.165
1770,0.003398637,0.116817287,21.63439757,0.079594257,1.275502347,355.3605476,60.96602721,3.925757718,2.139364739,15.74271509,7.155978284,0.010071225,0,0,0,5.0583E-05,0,0,0,0,1.5652E-06,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.007723273,0,0,0,105.04544,4273.5216
1771,0.00376661,0.118966389,21.4289211,0.081097973,1.228212151,347.8619883,59.42424033,3.841856478,2.100909701,15.32197739,7.069218405,0.010071225,0,0,0,5.46564E-05,0,0,0,0,1.60135E-06,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.007723273,0,0,0,105.07227,4274.9318
1772,0.003767722,0.121155028,21.39461572,0.082630097,1.215939406,344.6134738,58.72495295,3.811654446,2.087077541,15.11418329,7.043230562,0.010071225,0,0,0,5.87264E-05,0,0,0,0,1.63747E-06,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.007723273,0,0,0,105.08887,4275.8046
1773,0.003768834,0.123383931,21.59523139,0.084191167,1.218785264,345.7768091,58.91656885,3.79442292,2.092755603,15.20466379,7.104503735,0.010071225,0,0,0,6.27684E-05,0,0,0,0,1.67336E-06,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.007723273,0,0,0,105.06952,4274.7874
1774,0.003769947,0.12565384,22.25970773,0.085781728,1.264455986,358.103585,61.31335787,3.890752956,2.154900741,15.87559318,7.347701469,0.010071225,0,0,0,6.67847E-05,0,0,0,0,1.70901E-06,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.007723273,0,0,0,105.0265,4272.5262
1775,0.003771059,0.127965509,22.20096329,0.087402339,1.248656521,355.0471729,60.54083046,3.916740787,2.148996597,15.5891357,7.26964482,0.010071225,0,0,0,7.08648E-05,0,0,0,0,1.74523E-06,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.007723273,0,0,0,105.05246,4273.8905
1776,0.004159189,0.130319706,22.14194213,0.089053567,1.233336039,348.8985525,59.3811448,3.776170297,2.112143132,15.37007702,7.261469977,0.010071225,0,0,0,7.49057E-05,0,0,0,0,1.7811E-06,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.007723273,0,0,0,105.03944,4273.2061
1777,0.004160301,0.132717213,22.56871006,0.090735991,1.260676817,357.545361,60.89349007,3.936612366,2.170244784,15.67345753,7.355973763,0.010071225,0,0,0,7.89761E-05,0,0,0,0,1.81723E-06,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.007723273,0,0,0,105.05273,4273.9048
